127.0.0.1 - - [11/Mar/2024:09:55:46 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:50:17 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/insert.jsp HTTP/1.1" 200 2447
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:50:21 +0900] "POST /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3388
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:51:37 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3379
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:51:37 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:51:39 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/insert.jsp?m_no=A001 HTTP/1.1" 200 2447
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:53:17 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3387
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:53:20 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/insert.jsp?m_no=A002 HTTP/1.1" 200 2447
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:54:30 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3397
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:54:43 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/insert.jsp?m_no=A005 HTTP/1.1" 200 2447
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:54:45 +0900] "POST /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3397
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:54:47 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/insert.jsp?m_no=A004 HTTP/1.1" 200 2447
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:54:51 +0900] "POST /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3397
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:54:52 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/insert.jsp?m_no=A005 HTTP/1.1" 200 2447
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:55:36 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/insert.jsp HTTP/1.1" 200 2421
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:55:44 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/insert.jsp HTTP/1.1" 200 2397
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:55:47 +0900] "POST /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3397
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:55:54 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/updateForm.jsp?m_no=A001 HTTP/1.1" 200 1601
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:56:00 +0900] "POST /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/updateAction.jsp HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:56:01 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3397
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:56:41 +0900] "GET /day4/%EC%97%90%EC%9D%B4%EC%BD%98%ED%95%99%EC%83%9D%EB%93%B1%EB%A1%9D/rAction.jsp HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:56:48 +0900] "GET /day4/%EC%97%90%EC%9D%B4%EC%BD%98%ED%95%99%EC%83%9D%EB%93%B1%EB%A1%9D/reg2.jsp HTTP/1.1" 200 3192
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:56:54 +0900] "POST /day4/%EC%97%90%EC%9D%B4%EC%BD%98%ED%95%99%EC%83%9D%EB%93%B1%EB%A1%9D/rAction2.jsp HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:59:11 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3397
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:59:14 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/insert.jsp?m_no=A005 HTTP/1.1" 200 3206
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:59:26 +0900] "POST /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3397
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:01:01 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/insert.jsp HTTP/1.1" 200 3358
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:01:04 +0900] "POST /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3397
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:01:07 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/insert.jsp?m_no=A005 HTTP/1.1" 200 3358
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:01:10 +0900] "POST /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3397
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:04:24 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/updateAction.jsp HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:04:25 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3397
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:04:28 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/insert.jsp?m_no=A005 HTTP/1.1" 200 3410
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:04:37 +0900] "POST /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/mbAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:04:37 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/insert.jsp HTTP/1.1" 200 3410
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:04:42 +0900] "POST /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/mbAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:04:42 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/insert.jsp HTTP/1.1" 200 3410
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:04:44 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/index.html HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:04:48 +0900] "POST /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3397
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:05:16 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3397
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:05:18 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/insert.jsp?m_no=A005 HTTP/1.1" 200 3410
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:05:23 +0900] "POST /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/mbAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:05:23 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3397
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:05:25 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/insert.jsp?m_no=A005 HTTP/1.1" 200 3410
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:07:24 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3397
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:07:26 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/updateForm.jsp?m_no=A001 HTTP/1.1" 200 1601
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:07:28 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/insert.jsp?m_no=A002 HTTP/1.1" 200 3414
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:07:45 +0900] "POST /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/insertAction.jsp HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:08:46 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/insertAction.jsp HTTP/1.1" 200 28
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:08:50 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/updateForm.jsp?m_no=A001 HTTP/1.1" 200 1601
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:08:53 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/insert.jsp?m_no=A003 HTTP/1.1" 200 3414
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:08:54 +0900] "POST /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/insertAction.jsp HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:10:40 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3397
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:10:42 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/insert.jsp?m_no=A002 HTTP/1.1" 200 3414
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:10:47 +0900] "POST /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/insertAction.jsp HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:10:55 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/updateAction.jsp HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:10:56 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3397
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:10:57 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/updateForm.jsp?m_no=A001 HTTP/1.1" 200 1601
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:11:00 +0900] "POST /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/updateAction.jsp HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:11:03 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3397
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:11:36 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/mbAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:11:37 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3397
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:11:38 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/insert.jsp?m_no=A004 HTTP/1.1" 200 3414
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:11:49 +0900] "POST /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/insertAction.jsp HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:11:52 +0900] "POST /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/insertAction.jsp HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:15:09 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3397
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:15:12 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/insert.jsp?m_no=A005 HTTP/1.1" 200 3613
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:20:24 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/insert.jsp?m_no=A005 HTTP/1.1" 200 3418
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:20:39 +0900] "POST /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/insertAction.jsp HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:21:49 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3397
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:21:51 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/insert.jsp?m_no=A005 HTTP/1.1" 200 3418
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:22:18 +0900] "POST /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/insertAction.jsp HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:22:19 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3734
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:22:25 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/insert.jsp?m_no=A005 HTTP/1.1" 200 3418
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:30:26 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3734
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:30:28 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/insert.jsp?m_no=A004 HTTP/1.1" 200 3444
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:32:28 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/insert.jsp?m_no=A005 HTTP/1.1" 200 3444
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:32:40 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/updateForm.jsp?m_no=A007 HTTP/1.1" 200 1605
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:32:47 +0900] "POST /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/updateAction.jsp HTTP/1.1" 200 316
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:32:48 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3734
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:35:02 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/insert.jsp?m_no=A005 HTTP/1.1" 200 3444
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:35:05 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/deleteAction.jsp?m_no=A007 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:35:05 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3397
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:35:08 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/deleteAction.jsp?m_no=A002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:35:08 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3397
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:35:09 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/deleteAction.jsp?m_no=A002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:35:09 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3397
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:35:10 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/deleteAction.jsp?m_no=A003 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:35:10 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3397
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:35:10 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/deleteAction.jsp?m_no=A002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:35:11 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3397
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:35:11 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/deleteAction.jsp?m_no=A001 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:35:12 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3397
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:38:15 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/insert.jsp?m_no=A005 HTTP/1.1" 200 3444
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:38:23 +0900] "POST /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/insertAction.jsp HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:38:31 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3397
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:38:32 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/insert.jsp?m_no=A005 HTTP/1.1" 200 3444
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:38:37 +0900] "POST /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/insertAction.jsp HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:41:59 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3893
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:42:40 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3912
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:42:41 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/logo1.PNG HTTP/1.1" 404 875
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:42:44 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3912
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:42:44 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/logo1.PNG HTTP/1.1" 404 875
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:43:05 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/updateForm.jsp?m_no=A001 HTTP/1.1" 200 1601
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:43:09 +0900] "POST /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/updateAction.jsp HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:43:09 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3912
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:43:09 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/logo1.PNG HTTP/1.1" 404 875
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:43:13 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3912
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:43:13 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/logo1.PNG HTTP/1.1" 404 875
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:43:14 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3912
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:43:14 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/logo1.PNG HTTP/1.1" 404 875
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:43:25 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/deleteAction.jsp?m_no=A001 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:43:25 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3912
0:0:0:0:0:0:0:1 - - [11/Mar/2024:12:43:26 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/logo1.PNG HTTP/1.1" 404 875
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:12:49 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/insert.jsp?m_no=A005 HTTP/1.1" 200 3444
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:12:51 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/deleteAction.jsp?m_no=A001 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:12:51 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3912
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:12:52 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/logo1.PNG HTTP/1.1" 404 875
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:32:27 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/deleteAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:32:27 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3912
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:32:27 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/logo1.PNG HTTP/1.1" 404 875
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:32:29 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/deleteAction.jsp?m_no=A001 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:32:29 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 3912
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:32:30 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/logo1.PNG HTTP/1.1" 404 875
